USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23248 13428 ?        Ss   14:32   0:01 /sbin/init splash
colord      2020  0.0  0.0 323236 15064 ?        Ssl  14:32   0:00 /usr/libexec/colord
root        2032  0.0  0.0  88056 20864 ?        Ss   14:32   0:00 /usr/sbin/winbindd --foreground --no-process-group
root        2041  0.0  0.0  88856 15152 ?        S    14:32   0:00 winbindd: domain child [A108PC12]
cups-br+    2105  0.0  0.0 268648 19840 ?        Ssl  14:33   0:00 /usr/sbin/cups-browsed
root        2106  0.0  0.2 3983008 82916 ?       Ssl  14:33   0:01 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        2107  0.0  0.0   9680  7168 ?        Ss   14:33   0:00 socat -T 60 openssl-connect:server:789,cafile=/etc/epoptes/server.crt,openssl-no-sni,openssl-commonname="",interval=60,forever EXEC:bash -c \"exec -a epoptes-client sh\"
root        2113  0.0  0.0      0     0 ?        I    14:33   0:00 [kworker/7:2-mm_percpu_wq]
root        2118  0.0  0.0  12040  2688 ?        Ss   14:33   0:00 /usr/sbin/cron -f -P
root        2120  0.0  0.0   3008  2308 ?        Ss   14:33   0:00 /usr/sbin/rpc.idmapd
statd       2121  0.0  0.0   4560  1920 ?        Ss   14:33   0:00 /usr/sbin/rpc.statd
root        2122  0.0  0.0  43212  1832 ?        Ss   14:33   0:00 /usr/sbin/rpc.mountd
root        2178  0.0  0.0 380088  6900 ?        SLsl 14:33   0:00 /usr/sbin/lightdm
kernoops    2179  0.0  0.0  12744  2324 ?        Ss   14:33   0:00 /usr/sbin/kerneloops --test
kernoops    2182  0.0  0.0  12744  2324 ?        Ss   14:33   0:00 /usr/sbin/kerneloops
root        2185  0.0  0.0      0     0 ?        I    14:33   0:00 [lockd]
root        2189  0.0  0.0      0     0 ?        I<   14:33   0:00 [kworker/R-ipmi-]
root        2208  0.0  0.0      0     0 ?        I<   14:33   0:00 [kworker/R-iprt-]
root        2213  0.0  0.0      0     0 ?        S    14:33   0:00 [iprt-VBoxTscThread]
root        2230  1.5  0.4 1267480 130968 tty7   Ssl+ 14:33   0:37 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        2237  0.0  0.0  11320  1920 tty1     Ss+  14:33   0:00 /sbin/agetty -o -p -- \u --noclear - linux
root        2238  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2239  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2240  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2241  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2242  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2243  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2244  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2245  0.0  0.0      0     0 ?        I    14:33   0:00 [nfsd]
root        2285  0.0  0.0 228108 26492 ?        Ss   14:33   0:00 /usr/sbin/apache2 -k start
www-data    2300  0.0  0.0 228752 12496 ?        S    14:33   0:00 /usr/sbin/apache2 -k start
www-data    2302  0.0  0.0 228752 12496 ?        S    14:33   0:00 /usr/sbin/apache2 -k start
www-data    2303  0.0  0.0 228752 12496 ?        S    14:33   0:00 /usr/sbin/apache2 -k start
www-data    2304  0.0  0.0 228752 12496 ?        S    14:33   0:00 /usr/sbin/apache2 -k start
www-data    2305  0.0  0.0 228752 12496 ?        S    14:33   0:00 /usr/sbin/apache2 -k start
libvirt+    2349  0.0  0.0  11484  2092 ?        S    14:33   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        2350  0.0  0.0  11484  1068 ?        S    14:33   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
rtkit       2439  0.0  0.0  22940  3200 ?        SNsl 14:33   0:00 /usr/libexec/rtkit-daemon
root        2518  0.0  0.0 320172  9984 ?        Ssl  14:33   0:00 /usr/libexec/upowerd
root        2815  0.0  0.0 236228  9296 ?        Sl   14:33   0:00 lightdm --session-child 13 20
root        3219  0.0  0.0 1238360 14060 ?       Sl   14:33   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5df934926b0f1fcae370ac4d81a091d31014ed4fc6bbd199b02e9a4020afa491 -address /run/containerd/containerd.sock
root        3241  0.0  0.0 223476 29296 ?        Ss   14:33   0:00 apache2 -DFOREGROUND
